,strDrink,strCategory,strDrinkThumb,strIngredients,strInstructions
493,Tequila Fizz,Ordinary Drink,http://www.thecocktaildb.com/images/media/drink/2bcase1504889637.jpg,"Tequila, Lemon juice, Grenadine, Egg white, Ginger ale  ","Shake all ingredients (except ginger ale) with ice and strain into a collins glass over ice cubes. Fill with ginger ale, stir, and serve."
494,Tequila Sour,Ordinary Drink,http://www.thecocktaildb.com/images/media/drink/ek0mlq1504820601.jpg,"Tequila, Lemon, Powdered sugar, Lemon, Cherry  ","Shake tequila, juice of lemon, and powdered sugar with ice and strain into a whiskey sour glass. Add the half-slice of lemon, top with the cherry, and serve."
495,Tequila Sunrise,Cocktail,http://www.thecocktaildb.com/images/media/drink/quqyqp1480879103.jpg,"Tequila, Orange juice, Grenadine   ","Pour the tequila and orange juice into glass over ice. Add the grenadine, which will sink to the bottom. Stir gently to create the sunrise effect. Garnish and serve."
496,Tequila Surprise,Shot,http://www.thecocktaildb.com/images/media/drink/8189p51504735581.jpg,"Tequila, Tabasco sauce  ",Fill shot glass with Tequila. Add drops of Tobasco sauce.
497,Texas Rattlesnake,Shot,http://www.thecocktaildb.com/images/media/drink/rtohqp1504889750.jpg,"Yukon Jack, Cherry brandy, Southern Comfort, Sweet and sour ","Mix all ingredients and Shake well. Sweet at first, with a BITE at the end..."
498,Texas Sling,Milk / Float / Shake,http://www.thecocktaildb.com/images/media/drink/ypl13s1504890158.jpg,"Kahlua, Irish cream, Amaretto, 151 proof rum, Cream  ","Blend with Ice until smooth. Serve in a tulip glass, top with whip cream."
499,Thai Coffee,Coffee / Tea,http://www.thecocktaildb.com/images/media/drink/wquwxs1441247025.jpg,"Coffee, Coriander, Cardamom, Sugar, Whipping cream, Ice , ","Place the coffee and spices in the filter cone of your coffee maker. Brew coffee as usual, let it cool. In a tall glass, dissolve 1 or 2 teaspoons of sugar in an ounce of the coffee (it's easier to dissolve than if you put it right over ice). Add 5-6 ice cubes and pour coffee to within about 1 inch of the top of the glass. Rest a spoon on top of the coffee and slowly pour whipping cream into the spoon. This will make the cream float on top of the coffee rather than dispersing into it right away."
500,Thai Iced Coffee,Coffee / Tea,http://www.thecocktaildb.com/images/media/drink/rqpypv1441245650.jpg,"Coffee, Sugar, Cream, Cardamom ","Prepare a pot of coffee at a good European strength. In the ground coffee, add 2 or 3 freshly ground cardamom pods. Sweeten while hot, then cool quickly. Serve in highball glass over ice, with cream. To get the layered effect, place a spoon atop the coffee and pour the milk carefully into the spoon so that it floats on the top of the coffee."
501,Thai Iced Tea,Coffee / Tea,http://www.thecocktaildb.com/images/media/drink/trvwpu1441245568.jpg,"Tea, Water, Condensed milk, Ice, Mint  ","Combine Thai tea (i.e., the powder), boiling water, and sweetened condensed milk, stir until blended. Pour into 2 tall glasses filled with ice cubes. Garnish with mint leaves. Makes 2 servings."
502,The Evil Blue Thing,Cocktail,http://www.thecocktaildb.com/images/media/drink/ojnpz71504793059.jpg,"Creme de Cacao, Blue Curacao, Light rum   ","Pour ingredients into glass, and drop in a blue whale! The blue whale isn't really necessary, but it makes the drink more ""fun""."
503,Thriller,Ordinary Drink,http://www.thecocktaildb.com/images/media/drink/rvuswq1461867714.jpg,"Scotch, Wine, Orange juice   ","In a shaker half-filled with ice cubes, combine all of the ingredients. Shake well. Strain into a cocktail glass."
504,Tia-Maria,Homemade Liqueur,http://www.thecocktaildb.com/images/media/drink/sih81u1504367097.jpg,"Water, Brown sugar, Coffee, Rum, Vanilla extract  ","Boil water, sugar and coffe for 10 mins and let cool. Add rum and vanilla. Put in clean bottle(s) and leave for 1 week before using."
505,Tom Collins,Ordinary Drink,http://www.thecocktaildb.com/images/media/drink/qystvv1439907682.jpg,"Gin, Lemon juice, Sugar, Club soda, Maraschino cherry, Orange , ","In a shaker half-filled with ice cubes, combine the gin, lemon juice, and sugar. Shake well. Strain into a collins glass alomst filled with ice cubes. Add the club soda. Stir and garnish with the cherry and the orange slice."
506,Tomato Tang,Other/Unknown,http://www.thecocktaildb.com/images/media/drink/869qr81487603278.jpg,"Tomato juice, Lemon juice, Celery salt   ","Place all ingredients in the blender jar - cover and whiz on medium speed until well blended. Pour in one tall, 2 medium or 3 small glasses and drink up."
507,Tommy's Margarita,Ordinary Drink,http://www.thecocktaildb.com/images/media/drink/loezxn1504373874.jpg,"Tequila, Lime Juice, Agave syrup   ",Shake and strain into a chilled cocktail glass.
508,Turf Cocktail,Ordinary Drink,http://www.thecocktaildb.com/images/media/drink/utypqq1441554367.jpg,"Dry Vermouth, Gin, Anis, Bitters, Orange peel  ",Stir all ingredients (except orange peel) with ice and strain into a cocktail glass. Add the twist of orange peel and serve.
509,Turkeyball,Shot,http://www.thecocktaildb.com/images/media/drink/rxurpr1441554292.jpg,"Wild Turkey, Amaretto, Pineapple juice   ",Shake with ice and strain into a shot glass.
510,Tuxedo Cocktail,Ordinary Drink,http://www.thecocktaildb.com/images/media/drink/4u0nbl1504352551.jpg,"Dry Vermouth, Gin, Maraschino liqueur, Anis, Orange bitters, Cherry , ",Stir all ingredients with ice and strain into a cocktail glass. Garnish with a cherry and a twist of lemon zest.
511,Valencia Cocktail,Ordinary Drink,http://www.thecocktaildb.com/images/media/drink/9myuc11492975640.jpg,"Apricot brandy, Orange juice, Orange bitters   ","Shake all ingredients with ice, strain into a cocktail glass, and serve."
512,Vampiro,Ordinary Drink,http://www.thecocktaildb.com/images/media/drink/yfhn371504374246.jpg,"Tequila, Tomato Juice, Orange Juice, Lime Juice, Sugar Syrup, Salt , ","Vampiros may be made in a tall glass or an old fashioned glass. Bartenders may first ""rim"" the glass with Kosher Salt, which is done by placing a layer of Kosher Salt on a chopping board, moistening the glass' rim with lime juice or water, and then placing the upside down glass rim onto the Kosher Salt, so that the salt sticks to the moistened rim. The second step is to fill half the glass with ice and add one or two shooter glasses full of high quality Tequila. The next stage is to add the flavouring elements. This is done by squeezing a fresh lime into the glass, adding a few grains of salt, adding citrus-flavoured soda pop, until the glass is 4/5 full, and then adding spicy Viuda de Sanchez (or orange juice, lime juice and pico de gallo). The final step is to stir the ingredients so that the flavours are properly blended."
513,Van Vleet,Ordinary Drink,http://www.thecocktaildb.com/images/media/drink/fgq2bl1492975771.jpg,"Light rum, Maple syrup, Lemon juice   ","Shake all ingredients with ice, strain into an old-fashioned glass over ice cubes, and serve."
514,Vermouth Cassis,Ordinary Drink,http://www.thecocktaildb.com/images/media/drink/tswpxx1441554674.jpg,"Dry Vermouth, Creme de Cassis, Carbonated water   ","Stir vermouth and creme de cassis in a highball glass with ice cubes. Fill with carbonated water, stir again, and serve."
